Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Ultra Blush,Kylie Cosmetics,Face Oil,Occasional,70.51,1.7,1922,30,Dry,Female,Spray,Shea Butter,TRUE,France
Perfect Foundation,Yves Saint Laurent,Eyeliner,Daily,53.39,2.9,3092,200,Oily,Female,Tube,Salicylic Acid,TRUE,South Korea
Super Makeup Remover,Huda Beauty,CC Cream,Daily,30.76,4.2,6498,30,Normal,Unisex,Spray,Retinol,FALSE,Italy
Divine Face Mask,Juvias Place,Eye Shadow,Daily,98.98,1.7,7829,200,Dry,Male,Stick,Vitamin C,TRUE,USA
Perfect Primer,KVD Beauty,Makeup Remover,Weekly,90.19,2.2,3350,50,Combination,Unisex,Spray,Aloe Vera,TRUE,South Korea
Perfect Bronzer,Make Up For Ever,Face Oil,Daily,148.86,2,2763,250,Oily,Unisex,Jar,Hyaluronic Acid,TRUE,South Korea
Magic Concealer,Make Up For Ever,Eyeliner,Occasional,74.68,2.8,2538,250,Normal,Unisex,Tube,Retinol,FALSE,UK
Magic Primer,Patrick Ta,Eye Shadow,Weekly,51.51,2.9,3607,150,Sensitive,Unisex,Tube,Hyaluronic Acid,FALSE,Japan
Super Lip Liner,Glossier,Lipstick,Occasional,148.7,4.3,2301,100,Normal,Male,Jar,Retinol,FALSE,USA
Perfect Makeup Remover,Milk Makeup,Eyeliner,Monthly,101.56,4.3,4851,30,Dry,Female,Spray,Salicylic Acid,TRUE,Germany
Divine Lip Gloss,Huda Beauty,Cleanser,Occasional,57.74,1.6,4525,100,Combination,Female,Tube,Retinol,FALSE,Japan
Perfect Exfoliator,Glossier,Blush,Daily,134.35,2.6,65,50,Combination,Female,Compact,Aloe Vera,FALSE,Italy
Ultra Cleanser,Kylie Cosmetics,Primer,Weekly,28.88,1.4,3431,150,Sensitive,Unisex,Spray,Retinol,TRUE,USA
Perfect Powder,Anastasia Beverly Hills,Primer,Daily,27.13,3.7,9597,250,Normal,Female,Spray,Vitamin C,TRUE,France
Super Makeup Remover,Tatcha,Foundation,Occasional,109.46,3.4,3201,50,Normal,Female,Bottle,Shea Butter,TRUE,South Korea
Perfect Setting Spray,Kiehls,Lip Gloss,Weekly,24.9,4.5,2186,30,Sensitive,Unisex,Jar,Shea Butter,TRUE,UK
Divine Eye Shadow,Sisley,Eye Shadow,Daily,137.38,1.3,2593,100,Normal,Male,Compact,Salicylic Acid,FALSE,UK
Magic Blush,Kylie Cosmetics,Eyeliner,Daily,103.09,4.1,7336,150,Dry,Male,Spray,Retinol,TRUE,Germany
Magic Face Oil,Morphe,Face Mask,Monthly,20.01,2.6,6822,250,Dry,Unisex,Bottle,Salicylic Acid,FALSE,Italy
Ultra Exfoliator,IT Cosmetics,Face Oil,Weekly,63.65,3.5,6733,250,Sensitive,Male,Jar,Shea Butter,FALSE,Germany
Divine Bronzer,ColourPop,Foundation,Monthly,109.43,2.4,6844,50,Combination,Female,Jar,Glycerin,TRUE,South Korea
Magic Face Mask,Drunk Elephant,Contour,Occasional,122.81,1.3,711,250,Combination,Unisex,Jar,Aloe Vera,FALSE,Australia
Magic BB Cream,Tarte,Foundation,Daily,128.54,3.6,633,200,Normal,Female,Jar,Shea Butter,FALSE,Australia
Magic Face Oil,NARS,Powder,Daily,104.15,4.8,4217,200,Oily,Unisex,Compact,Hyaluronic Acid,TRUE,Japan
Super Makeup Remover,Make Up For Ever,Lip Liner,Weekly,100.34,4.2,89,30,Sensitive,Unisex,Stick,Vitamin C,FALSE,Japan
Super Primer,Morphe,Primer,Weekly,21.48,1.4,2727,50,Oily,Male,Compact,Glycerin,FALSE,USA
Perfect Lipstick,Huda Beauty,Highlighter,Occasional,117.16,2.9,2893,100,Combination,Male,Jar,Vitamin C,TRUE,France
Divine Foundation,Becca,Foundation,Monthly,104.69,2.5,3627,250,Dry,Male,Bottle,Vitamin C,FALSE,Japan
Ultra Powder,Yves Saint Laurent,Makeup Remover,Weekly,22.77,2.1,626,250,Oily,Unisex,Jar,Vitamin C,FALSE,Italy
Super Makeup Remover,Rare Beauty,Eye Shadow,Occasional,10.82,4.4,9283,50,Dry,Male,Jar,Retinol,FALSE,France
Divine Lip Gloss,Fenty Beauty,Lip Gloss,Daily,77.22,4.9,6032,50,Combination,Male,Stick,Shea Butter,TRUE,Australia
Super Eye Shadow,Pat McGrath Labs,Blush,Monthly,16.04,2.6,123,200,Sensitive,Unisex,Stick,Shea Butter,FALSE,Australia
Perfect CC Cream,IT Cosmetics,Setting Spray,Monthly,68.33,3,7216,30,Normal,Male,Stick,Salicylic Acid,TRUE,USA
Perfect Cleanser,Becca,Face Oil,Daily,86.73,2.5,7802,150,Oily,Female,Stick,Salicylic Acid,TRUE,Japan
Perfect Bronzer,Huda Beauty,Face Oil,Occasional,107.91,4.3,8427,50,Combination,Unisex,Jar,Shea Butter,TRUE,Japan
Ultra Moisturizer,Clinique,CC Cream,Occasional,111.13,4.1,9891,50,Dry,Unisex,Tube,Salicylic Acid,FALSE,Germany
Super Serum,Urban Decay,Mascara,Monthly,148.57,4.7,2113,250,Sensitive,Male,Compact,Vitamin C,TRUE,France
Super Blush,Drunk Elephant,Cleanser,Monthly,90.64,3.8,6502,30,Oily,Female,Bottle,Salicylic Acid,FALSE,UK
Magic Exfoliator,Natasha Denona,Powder,Daily,147.02,2.1,9953,250,Combination,Male,Jar,Shea Butter,FALSE,Germany
Ultra Lip Gloss,Kylie Cosmetics,Mascara,Occasional,135.12,4,3561,30,Oily,Unisex,Bottle,Vitamin C,FALSE,Italy
Super Eyeliner,Huda Beauty,Lipstick,Monthly,109.42,3.1,61,250,Sensitive,Female,Tube,Salicylic Acid,TRUE,USA
Perfect Cleanser,Rare Beauty,Makeup Remover,Monthly,62.59,4.7,1451,250,Normal,Unisex,Jar,Glycerin,FALSE,USA
Magic Contour,Urban Decay,Primer,Daily,44.92,2.2,2334,150,Sensitive,Unisex,Compact,Glycerin,TRUE,Italy
Super Moisturizer,Becca,CC Cream,Occasional,108.28,4.8,8088,100,Dry,Unisex,Tube,Vitamin C,FALSE,USA
Divine Contour,KVD Beauty,Serum,Monthly,114.45,4.6,2244,250,Combination,Female,Stick,Vitamin C,TRUE,Australia
Magic Primer,Yves Saint Laurent,Eye Shadow,Weekly,68.13,4.8,5444,150,Combination,Male,Spray,Retinol,FALSE,Australia
Super Blush,Bite Beauty,Mascara,Monthly,33.31,3.8,1181,150,Dry,Unisex,Jar,Shea Butter,TRUE,Australia
Divine Cleanser,Huda Beauty,Lipstick,Weekly,20.25,2.1,8696,150,Oily,Male,Bottle,Retinol,FALSE,France
Super Foundation,Make Up For Ever,Serum,Daily,11.8,2.7,1921,250,Combination,Female,Stick,Hyaluronic Acid,TRUE,South Korea
Magic Mascara,Yves Saint Laurent,Face Mask,Weekly,60.4,5,5018,50,Combination,Male,Compact,Hyaluronic Acid,FALSE,Germany
Perfect Bronzer,Sisley,Contour,Weekly,109.57,1.2,8108,50,Dry,Male,Stick,Retinol,TRUE,Germany
Divine Cleanser,Farsali,Highlighter,Monthly,89.32,4.4,9747,50,Sensitive,Unisex,Stick,Shea Butter,TRUE,France
Divine Lip Gloss,Sisley,Serum,Monthly,124.6,3.3,1223,30,Normal,Unisex,Bottle,Aloe Vera,TRUE,Australia
Super Setting Spray,Drunk Elephant,Makeup Remover,Weekly,105.11,1.5,2633,100,Sensitive,Male,Compact,Salicylic Acid,FALSE,Japan
Magic Highlighter,Anastasia Beverly Hills,Cleanser,Monthly,86.47,2.7,4197,150,Sensitive,Male,Tube,Glycerin,TRUE,UK
Ultra Concealer,Elf,Highlighter,Weekly,84.67,3.2,6087,50,Dry,Male,Bottle,Hyaluronic Acid,FALSE,USA
Super Powder,Charlotte Tilbury,Moisturizer,Occasional,133.49,1.2,2036,150,Oily,Male,Compact,Salicylic Acid,TRUE,France
Super Setting Spray,Drunk Elephant,CC Cream,Monthly,97.25,3.9,1706,150,Oily,Unisex,Jar,Retinol,TRUE,South Korea
Divine Eyeliner,Kiehls,Makeup Remover,Monthly,80.49,2.3,7075,250,Dry,Female,Jar,Vitamin C,FALSE,Australia
Magic CC Cream,Kylie Cosmetics,Exfoliator,Daily,35.39,2.9,6844,250,Oily,Male,Bottle,Glycerin,TRUE,South Korea
Super Lip Gloss,Ilia Beauty,Lipstick,Monthly,99.82,2.5,7990,200,Oily,Male,Spray,Salicylic Acid,FALSE,Japan
Ultra Face Oil,Make Up For Ever,Blush,Weekly,86.29,1.8,2552,30,Combination,Female,Stick,Salicylic Acid,TRUE,USA
Magic Lip Gloss,NARS,Cleanser,Monthly,79.53,1.3,6149,250,Oily,Female,Tube,Hyaluronic Acid,FALSE,USA
Divine Eyeliner,Danessa Myricks,Cleanser,Weekly,89.15,3.6,4370,30,Oily,Female,Jar,Retinol,TRUE,UK
Divine CC Cream,Shiseido,Foundation,Occasional,16.83,2.9,3446,150,Sensitive,Unisex,Jar,Vitamin C,FALSE,South Korea
Super Lipstick,Bourjois,Lip Liner,Daily,75.81,2.3,1693,30,Dry,Unisex,Jar,Salicylic Acid,TRUE,Italy
Perfect Highlighter,Bobby Brown,CC Cream,Monthly,12.61,1.6,7728,100,Dry,Unisex,Tube,Vitamin C,TRUE,Japan
Super Foundation,Fenty Beauty,Serum,Occasional,48.36,1.1,9835,100,Normal,Unisex,Jar,Salicylic Acid,FALSE,Australia
Magic CC Cream,ColourPop,Eyeliner,Daily,101.42,2.6,6798,200,Combination,Unisex,Compact,Shea Butter,FALSE,Japan
Magic Powder,Patrick Ta,BB Cream,Occasional,137.6,4.1,4888,50,Normal,Unisex,Tube,Vitamin C,FALSE,Japan
Ultra Face Oil,Becca,Lipstick,Weekly,58.8,3.3,691,50,Dry,Male,Compact,Glycerin,TRUE,Japan
Super Face Oil,Sisley,Bronzer,Occasional,64.15,4.5,9247,150,Oily,Unisex,Stick,Vitamin C,TRUE,Japan
Divine BB Cream,Huda Beauty,Moisturizer,Monthly,92.29,3.2,632,250,Oily,Female,Bottle,Vitamin C,FALSE,Japan
Ultra Eye Shadow,Farsali,Highlighter,Weekly,63.19,2.4,1375,200,Dry,Unisex,Tube,Hyaluronic Acid,TRUE,USA
Perfect Eyeliner,Anastasia Beverly Hills,Lip Liner,Daily,21.76,2.3,7328,30,Sensitive,Unisex,Bottle,Glycerin,FALSE,South Korea
Super Setting Spray,Urban Decay,Eye Shadow,Monthly,71.42,2.1,250,250,Dry,Unisex,Spray,Shea Butter,TRUE,UK
Perfect Powder,Shiseido,Setting Spray,Occasional,101.22,5,3705,200,Dry,Male,Stick,Hyaluronic Acid,FALSE,Australia
Divine Makeup Remover,Huda Beauty,Lipstick,Occasional,69.36,2.2,4790,200,Combination,Unisex,Jar,Shea Butter,FALSE,USA
Divine Serum,Make Up For Ever,Face Oil,Daily,73.38,2,6058,100,Normal,Female,Spray,Retinol,TRUE,South Korea
Super Serum,Shiseido,Primer,Monthly,118.82,4.7,6827,250,Combination,Female,Bottle,Shea Butter,FALSE,Japan
Magic Serum,Hourglass,Highlighter,Monthly,61.91,4.6,5565,200,Oily,Female,Bottle,Hyaluronic Acid,TRUE,Japan
Magic Serum,Elf,Blush,Monthly,143.61,4.3,6635,50,Oily,Unisex,Bottle,Retinol,FALSE,South Korea
Ultra Exfoliator,Drunk Elephant,Blush,Daily,25.29,1.9,6503,250,Sensitive,Female,Jar,Salicylic Acid,TRUE,USA
Perfect Moisturizer,Hourglass,Mascara,Occasional,37.44,1.9,8207,150,Oily,Female,Compact,Glycerin,TRUE,Germany
Perfect Cleanser,KVD Beauty,Powder,Occasional,31.9,1.6,7254,50,Normal,Unisex,Tube,Retinol,FALSE,USA
Magic Face Mask,Charlotte Tilbury,Lipstick,Occasional,108.99,1.2,2878,150,Dry,Male,Stick,Retinol,FALSE,USA
Divine Powder,Sisley,Serum,Weekly,45.7,1.1,6625,150,Normal,Unisex,Jar,Glycerin,FALSE,USA
Super Cleanser,Sisley,Eyeliner,Weekly,76.34,2.8,9501,100,Oily,Male,Tube,Hyaluronic Acid,FALSE,Germany
Ultra Lip Liner,Elf,Blush,Monthly,59.03,1.7,2435,100,Sensitive,Male,Tube,Vitamin C,TRUE,Italy
Perfect Cleanser,Bourjois,Lip Liner,Occasional,35.28,2.5,3449,200,Sensitive,Female,Spray,Vitamin C,TRUE,Italy
Super Foundation,Patrick Ta,Foundation,Daily,105.91,1.7,3528,100,Dry,Unisex,Jar,Shea Butter,FALSE,Australia
Divine Powder,Ilia Beauty,Powder,Weekly,84.78,3.8,1615,200,Sensitive,Female,Stick,Hyaluronic Acid,TRUE,France
Super Face Oil,IT Cosmetics,CC Cream,Weekly,53.24,4.8,3582,100,Oily,Female,Jar,Salicylic Acid,TRUE,Japan
Perfect Foundation,Anastasia Beverly Hills,Cleanser,Occasional,54.62,3.7,7887,150,Combination,Male,Stick,Shea Butter,TRUE,UK
Super Exfoliator,Clinique,Contour,Occasional,35.71,2.6,2956,100,Oily,Female,Jar,Glycerin,TRUE,Australia
Super Bronzer,Juvias Place,Eyeliner,Occasional,60.53,4,4259,50,Combination,Unisex,Bottle,Retinol,FALSE,Japan
Super Face Mask,Farsali,Eyeliner,Monthly,17.07,4.4,8710,50,Sensitive,Male,Tube,Retinol,FALSE,France
Magic Makeup Remover,Huda Beauty,Eyeliner,Monthly,117.66,3.5,4928,150,Oily,Unisex,Jar,Hyaluronic Acid,FALSE,USA
Ultra Setting Spray,Farsali,Concealer,Monthly,34.34,2.1,2508,200,Normal,Male,Spray,Glycerin,FALSE,South Korea
Divine Eye Shadow,Anastasia Beverly Hills,Makeup Remover,Daily,136.63,4.9,3414,30,Normal,Unisex,Tube,Aloe Vera,TRUE,Germany
Magic Eyeliner,Morphe,Blush,Weekly,68.12,1.4,3232,150,Normal,Male,Tube,Hyaluronic Acid,FALSE,Germany
Ultra Lip Liner,Clinique,Serum,Daily,143.44,4.2,2185,150,Sensitive,Female,Jar,Glycerin,TRUE,Australia
Super Setting Spray,KVD Beauty,Face Mask,Daily,92.89,2.9,8071,200,Dry,Unisex,Tube,Aloe Vera,TRUE,UK
Perfect Lip Liner,Elf,Bronzer,Weekly,52.76,4.5,2623,50,Dry,Unisex,Tube,Aloe Vera,TRUE,South Korea
Super Foundation,Tatcha,Setting Spray,Weekly,71.49,3.8,8880,100,Sensitive,Female,Bottle,Hyaluronic Acid,FALSE,Japan
Perfect Lipstick,Charlotte Tilbury,Exfoliator,Monthly,120.88,1.6,5533,30,Sensitive,Female,Compact,Salicylic Acid,FALSE,South Korea
Perfect Face Mask,Drunk Elephant,Cleanser,Weekly,125.11,3.4,4509,150,Combination,Unisex,Spray,Hyaluronic Acid,TRUE,USA
Ultra Makeup Remover,Natasha Denona,Makeup Remover,Occasional,39.73,1.2,5128,30,Dry,Male,Tube,Vitamin C,FALSE,USA
Divine Moisturizer,Yves Saint Laurent,Eye Shadow,Occasional,109.34,1.9,5446,30,Oily,Male,Stick,Hyaluronic Acid,FALSE,Australia
Ultra Lipstick,Morphe,Lip Gloss,Occasional,46.2,2.4,530,100,Sensitive,Male,Stick,Shea Butter,FALSE,South Korea
Divine Bronzer,Natasha Denona,CC Cream,Daily,32.66,2.9,1733,30,Combination,Female,Jar,Salicylic Acid,FALSE,UK
Ultra Lip Gloss,Rare Beauty,Setting Spray,Weekly,145.71,4,9076,200,Oily,Unisex,Jar,Vitamin C,FALSE,Japan
Super Blush,Rare Beauty,Makeup Remover,Daily,18.06,4.1,706,100,Normal,Male,Spray,Glycerin,FALSE,France
Ultra Lip Liner,Tatcha,Eyeliner,Monthly,65.43,1.4,7129,30,Normal,Male,Tube,Retinol,FALSE,Italy
Super Eyeliner,Pat McGrath Labs,BB Cream,Daily,97.43,4.9,3357,250,Oily,Male,Tube,Vitamin C,TRUE,France
Perfect Primer,Yves Saint Laurent,Face Mask,Occasional,23.34,1,3468,100,Normal,Male,Compact,Glycerin,TRUE,South Korea
Perfect Eyeliner,Bite Beauty,Blush,Weekly,72,3.1,795,200,Normal,Male,Spray,Salicylic Acid,FALSE,Germany
Perfect Contour,Make Up For Ever,Lipstick,Occasional,56.49,2.1,6628,30,Oily,Female,Stick,Hyaluronic Acid,FALSE,Italy
Perfect Contour,Tarte,Serum,Daily,136.91,3.3,8141,50,Normal,Male,Spray,Aloe Vera,FALSE,South Korea
Super Powder,Tarte,Moisturizer,Occasional,138.03,3.2,84,150,Combination,Unisex,Compact,Vitamin C,FALSE,USA
Super Cleanser,Kylie Cosmetics,Face Mask,Occasional,149.22,2.4,2437,30,Dry,Male,Compact,Vitamin C,TRUE,Japan
Perfect Serum,Bobby Brown,Lipstick,Weekly,135.85,2.1,1140,200,Dry,Female,Bottle,Aloe Vera,FALSE,Australia
Super Face Mask,Bite Beauty,Moisturizer,Monthly,84.87,4,9366,150,Oily,Male,Jar,Shea Butter,FALSE,Italy
Ultra Serum,KVD Beauty,Lip Gloss,Occasional,92.2,4.1,3419,250,Sensitive,Unisex,Tube,Hyaluronic Acid,TRUE,Japan
Divine Lipstick,Perricone MD,Blush,Weekly,31.17,3.9,9403,150,Normal,Male,Jar,Glycerin,TRUE,Japan
Divine Powder,Make Up For Ever,Bronzer,Weekly,146.93,2.4,6788,100,Dry,Female,Compact,Aloe Vera,FALSE,South Korea
Divine Concealer,Bourjois,Highlighter,Weekly,41.04,3.1,3386,150,Sensitive,Male,Tube,Aloe Vera,TRUE,France
Magic Serum,Kylie Cosmetics,Powder,Monthly,121.91,3.1,9554,150,Normal,Unisex,Spray,Hyaluronic Acid,FALSE,Japan
Magic Lip Liner,Too Faced,Lip Liner,Daily,130.05,3.2,7687,250,Combination,Unisex,Jar,Retinol,TRUE,Italy
Divine Contour,Patrick Ta,Setting Spray,Monthly,93.22,2,3071,50,Normal,Male,Stick,Shea Butter,TRUE,France
Perfect BB Cream,RMS Beauty,Makeup Remover,Occasional,66.12,2.3,8558,200,Sensitive,Female,Tube,Shea Butter,TRUE,France
Perfect Contour,Milk Makeup,Bronzer,Monthly,57.47,2.7,3688,30,Sensitive,Unisex,Compact,Salicylic Acid,FALSE,UK
Magic Face Oil,Perricone MD,Blush,Occasional,121.67,3.9,1472,150,Sensitive,Female,Tube,Glycerin,FALSE,USA
Super Setting Spray,Milk Makeup,BB Cream,Occasional,127.99,3.8,5586,30,Normal,Male,Compact,Salicylic Acid,TRUE,Italy
Super Cleanser,ColourPop,Eyeliner,Monthly,17.77,1,4861,100,Combination,Male,Jar,Glycerin,FALSE,France
Divine Lipstick,Milk Makeup,Foundation,Occasional,62.71,3.6,1732,50,Oily,Female,Spray,Salicylic Acid,FALSE,France
Perfect Lip Liner,Too Faced,Blush,Monthly,140.84,4.8,1371,200,Sensitive,Male,Compact,Vitamin C,TRUE,Italy
Super Eyeliner,RMS Beauty,Face Oil,Monthly,24.43,2.9,8371,30,Sensitive,Unisex,Bottle,Shea Butter,TRUE,France
Perfect Bronzer,Yves Saint Laurent,Lipstick,Occasional,149.65,1.9,5161,250,Combination,Female,Spray,Retinol,TRUE,UK
Ultra Highlighter,Natasha Denona,Blush,Occasional,60.89,2.7,2006,200,Combination,Male,Stick,Retinol,TRUE,South Korea
Divine Bronzer,Sisley,Serum,Monthly,72.21,1.7,6370,30,Oily,Unisex,Jar,Shea Butter,TRUE,Germany
Perfect Cleanser,Natasha Denona,Concealer,Daily,39.62,4.1,1127,200,Combination,Unisex,Tube,Vitamin C,FALSE,South Korea
Magic Blush,Rare Beauty,Exfoliator,Weekly,56.81,2,9901,250,Combination,Unisex,Compact,Retinol,TRUE,Japan
Super CC Cream,ColourPop,Concealer,Daily,47.87,2.9,3554,200,Dry,Female,Bottle,Salicylic Acid,FALSE,USA
Magic BB Cream,Ilia Beauty,Face Oil,Daily,132.45,4.3,2188,30,Normal,Male,Tube,Glycerin,TRUE,UK
Super CC Cream,Too Faced,Foundation,Weekly,120.09,1.2,4104,150,Combination,Male,Stick,Hyaluronic Acid,FALSE,UK
Magic Serum,Patrick Ta,BB Cream,Monthly,81.03,3.7,5191,250,Normal,Female,Stick,Glycerin,TRUE,UK
Divine Contour,Urban Decay,BB Cream,Weekly,80.66,3.2,6323,100,Sensitive,Female,Jar,Aloe Vera,FALSE,USA
Super Powder,Pat McGrath Labs,Foundation,Weekly,127.49,4.4,74,50,Sensitive,Female,Bottle,Vitamin C,FALSE,Japan
Magic BB Cream,Anastasia Beverly Hills,Eyeliner,Weekly,102.21,2.6,9653,150,Normal,Female,Compact,Shea Butter,FALSE,Germany
Ultra Face Oil,Rare Beauty,Eyeliner,Monthly,15.41,2.1,6810,50,Oily,Female,Stick,Glycerin,FALSE,UK
Magic Concealer,Ilia Beauty,Blush,Occasional,67.98,3.5,4233,50,Combination,Unisex,Compact,Aloe Vera,TRUE,UK
Magic Lip Gloss,Morphe,Lip Gloss,Weekly,46.19,1.1,9225,200,Dry,Unisex,Spray,Vitamin C,FALSE,UK
Super BB Cream,Bourjois,Eye Shadow,Weekly,127.87,4.1,2876,250,Normal,Female,Bottle,Glycerin,FALSE,France
Perfect Lip Liner,KVD Beauty,Setting Spray,Monthly,118.68,3.2,1802,100,Oily,Unisex,Tube,Vitamin C,TRUE,USA
Ultra Eyeliner,Yves Saint Laurent,Eyeliner,Monthly,66.3,3,1730,150,Dry,Female,Stick,Salicylic Acid,TRUE,Germany
Super Primer,Bite Beauty,Bronzer,Occasional,137.65,4.3,7317,150,Dry,Male,Spray,Vitamin C,TRUE,South Korea
Magic Setting Spray,Anastasia Beverly Hills,Lip Liner,Monthly,97.26,1.3,8011,250,Sensitive,Unisex,Spray,Glycerin,FALSE,UK
Magic Blush,Hourglass,Cleanser,Occasional,56.77,3.9,5572,250,Normal,Male,Tube,Retinol,FALSE,Italy
Magic Exfoliator,Patrick Ta,Eye Shadow,Weekly,116.15,4.1,7945,250,Dry,Unisex,Compact,Vitamin C,TRUE,Italy
Perfect Setting Spray,Elf,Face Mask,Daily,106.65,4.6,67,30,Combination,Male,Tube,Retinol,FALSE,Italy
Ultra Concealer,Bourjois,Highlighter,Occasional,144.15,3.6,4572,200,Oily,Male,Compact,Hyaluronic Acid,TRUE,Australia
Divine Contour,Huda Beauty,Serum,Weekly,122.36,1.9,2473,100,Combination,Unisex,Compact,Shea Butter,TRUE,Germany
Divine Moisturizer,Patrick Ta,Foundation,Occasional,84.5,1.1,8351,250,Normal,Female,Stick,Aloe Vera,TRUE,Australia
Ultra CC Cream,Farsali,Cleanser,Daily,105.37,2.5,3162,100,Oily,Unisex,Compact,Vitamin C,TRUE,UK
Ultra Powder,Bite Beauty,Moisturizer,Monthly,42.3,2.8,5478,30,Oily,Female,Spray,Glycerin,FALSE,Germany
Divine Primer,KVD Beauty,Concealer,Weekly,145.62,3,7318,100,Dry,Unisex,Compact,Salicylic Acid,FALSE,UK
Magic Eyeliner,RMS Beauty,Moisturizer,Weekly,66.07,2.5,1722,100,Normal,Female,Compact,Glycerin,TRUE,Australia
Perfect Cleanser,Clinique,Face Mask,Weekly,125.19,3.9,2460,200,Normal,Unisex,Stick,Vitamin C,TRUE,Japan
Divine Face Mask,Hourglass,Makeup Remover,Daily,39.26,2.9,4688,30,Sensitive,Unisex,Compact,Glycerin,TRUE,South Korea
Super Face Oil,Huda Beauty,Moisturizer,Monthly,139.4,2.3,6853,150,Dry,Male,Bottle,Salicylic Acid,TRUE,Australia
Magic Lip Gloss,Patrick Ta,Lip Liner,Monthly,11.54,1.7,5488,30,Oily,Male,Tube,Retinol,TRUE,Germany
Perfect Foundation,Kylie Cosmetics,Mascara,Occasional,45.71,3.6,2371,200,Oily,Unisex,Tube,Vitamin C,FALSE,Germany
Magic Lipstick,Yves Saint Laurent,Contour,Monthly,18.83,3.7,3083,50,Dry,Male,Spray,Retinol,TRUE,South Korea
Magic Serum,RMS Beauty,Concealer,Daily,34.59,3.9,7781,250,Sensitive,Female,Tube,Salicylic Acid,FALSE,Germany
Magic Makeup Remover,Danessa Myricks,Exfoliator,Monthly,48.29,3.9,6224,200,Combination,Female,Jar,Glycerin,FALSE,South Korea
Super Moisturizer,Becca,Makeup Remover,Occasional,149.71,2.2,5450,150,Dry,Male,Compact,Glycerin,FALSE,South Korea
Divine Powder,Kylie Cosmetics,Contour,Monthly,35.68,1.2,5900,50,Oily,Unisex,Bottle,Salicylic Acid,TRUE,France
Perfect Blush,KVD Beauty,Powder,Occasional,40.56,1.7,8047,150,Dry,Female,Jar,Retinol,FALSE,Italy
Magic Lip Gloss,Ilia Beauty,Makeup Remover,Daily,106.36,3.5,9067,200,Combination,Female,Jar,Retinol,FALSE,Italy
Magic Face Mask,Farsali,Primer,Occasional,78.6,3.6,7349,50,Oily,Female,Bottle,Salicylic Acid,TRUE,South Korea
Magic Foundation,Bourjois,Makeup Remover,Occasional,35.37,4.7,8337,50,Sensitive,Female,Jar,Vitamin C,FALSE,Australia
Divine Concealer,Urban Decay,Moisturizer,Occasional,11.2,4.3,7102,200,Sensitive,Female,Bottle,Glycerin,TRUE,UK
Super Foundation,ColourPop,Exfoliator,Weekly,25.97,1,9720,30,Combination,Female,Bottle,Aloe Vera,TRUE,Japan
Magic Lip Liner,Bite Beauty,CC Cream,Daily,141.04,4.1,198,100,Sensitive,Unisex,Stick,Hyaluronic Acid,FALSE,USA
Super Face Oil,Tatcha,Blush,Monthly,13.58,2.3,8620,250,Oily,Female,Compact,Vitamin C,FALSE,Australia
Ultra Powder,Make Up For Ever,Eye Shadow,Monthly,130.37,2.4,9152,100,Normal,Female,Tube,Salicylic Acid,FALSE,UK
Perfect Eyeliner,Morphe,BB Cream,Daily,35.99,4.9,389,50,Combination,Female,Spray,Salicylic Acid,TRUE,USA
Divine Lip Liner,NARS,Eye Shadow,Monthly,137.13,3.7,7574,100,Normal,Unisex,Stick,Aloe Vera,FALSE,Germany
Divine Lip Liner,Rare Beauty,Setting Spray,Occasional,62.43,1.7,4044,100,Normal,Male,Spray,Glycerin,FALSE,France
Magic Eyeliner,Milk Makeup,Cleanser,Weekly,83.54,2,2735,30,Sensitive,Unisex,Jar,Retinol,FALSE,Italy
Magic Concealer,Elf,Exfoliator,Weekly,69.89,1.3,2253,200,Sensitive,Female,Bottle,Vitamin C,FALSE,South Korea
Magic Concealer,Farsali,Face Oil,Weekly,93.85,4,6907,200,Dry,Unisex,Compact,Shea Butter,TRUE,South Korea
Divine CC Cream,Hourglass,Bronzer,Monthly,104.22,2.8,4316,50,Sensitive,Female,Tube,Aloe Vera,FALSE,Australia
Magic Powder,Farsali,Lipstick,Weekly,74.79,2.6,2061,200,Combination,Male,Spray,Hyaluronic Acid,FALSE,UK
Perfect Eye Shadow,Too Faced,BB Cream,Daily,95.43,4.2,3758,50,Normal,Male,Bottle,Hyaluronic Acid,FALSE,Australia
Divine Foundation,IT Cosmetics,Exfoliator,Monthly,25.98,2.4,7096,250,Oily,Unisex,Tube,Hyaluronic Acid,TRUE,France
Magic Cleanser,Danessa Myricks,CC Cream,Daily,59.98,5,6735,50,Normal,Unisex,Tube,Glycerin,FALSE,UK
Magic Eye Shadow,Bourjois,Lipstick,Monthly,54.03,1.2,7404,250,Normal,Unisex,Bottle,Glycerin,TRUE,UK
Ultra Lipstick,Urban Decay,Foundation,Weekly,68.74,2.8,8583,30,Dry,Unisex,Bottle,Salicylic Acid,TRUE,Australia
Magic Lipstick,Shiseido,CC Cream,Occasional,51.51,4.4,6640,150,Oily,Unisex,Spray,Aloe Vera,FALSE,UK
Divine Contour,Rare Beauty,Setting Spray,Daily,39.23,4.8,4741,50,Combination,Female,Stick,Shea Butter,TRUE,South Korea
